product_id,product_name,product_category,product_image,product_deeplink
pulsego-s25-001,"Psykologian perusteet (nonstop-aloitus), 5 op",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Psykologian-perusteet-nonstop-aloitus-5-op-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-psykologian-perusteet-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-002,"Sosiaali- ja terveydenhuollon toimintaympäristö, 2 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Sosiaali-ja-terveydenhuollon-toimintaymparisto-2-op-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-sosiaali-ja-terveydenhuollon-toimintaymparisto-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-003,"Aikuisten allergiat ja astma, 3 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Aikuisten-allergiat-ja-astma-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-aikuisten-allergiat-ja-astma-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-004,"Toteuta lääkehoitoa turvallisesti - opetus- ja varhaiskasvatushenkilöstö, 3 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Toteuta-laakehoitoa-turvallisesti-opetus-ja-varhaiskasvatushenkilosto-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-toteuta-laakehoitoa-turvallisesti-opetus-ja-varhaiskasvatushenkilosto-nonstop-aloitus/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-005,"Monivammapotilaan hoitotyö päivystyspoliklinikalla ja tehohoito-osastolla, 5 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Monivammapotilaan-hoitotyo-paivystyspoliklinikalla-ja-tehohoito-osastolla-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-monivammapotilaan-hoitotyo-paivystyspoliklinikalla-ja-tehohoito-osastolla-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-006,"Yhteistyöllä kohti parempaa palvelua - monialainen yhteistyö sosiaali- ja terveydenhuollossa, 3 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Yhteistyolla-kohti-parempaa-palvelua-monialainen-yhteistyo-sosiaali-ja-terveydenhuollossa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-yhteistyolla-kohti-parempaa-palvelua-monialainen-yhteistyo-sosiaali-ja-terveydenhuollossa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-007,"Intoksikaatiopotilaan hoitotyö, 5 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Intoksikaatiopotilaan-hoitotyo-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-intoksikaatiopotilaan-hoitotyo-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-008,"Ota digi haltuun! Digitalisaatio sosiaali- ja terveysalan muuttuvissa toimintaympäristöissä, 3 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Digitalisaatio-sosiaali-ja-terveysalan-muuttuvissa-toimintaymparistoissa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-ota-digi-haltuun-digitalisaatio-sosiaali-ja-terveysalan-muuttuvissa-toimintaymparistoissa-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-009,"Kuulo palvelutilanteissa – sujuvaa kuulemista apuvälineiden avulla, 3 op (nonstop-aloitus) verkko100",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kuulo-palvelutilanteissa-–-sujuvaa-kuulemista-apuvalineiden-avulla-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kuulo-palvelutilanteissa-sujuvaa-kuulemista-apuvalineiden-avulla-nonstop-aloitus-2-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-010,"Lasten ja nuorten jalkaterveys (nonstop-aloitus), 5 op",Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Lasten-ja-nuorten-jalkaterveys-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-lasten-ja-nuorten-jalkaterveys-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-011,Ravitsemushoito osana hyvää hoitoa,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Ravitsemushoito-osana-hyvaa-hoitoa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-ravitsemushoito-osana-hyvaa-hoitoa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-012,Nepsy-tietoutta työelämää varten,Sosiaali- ja terveysala,https://www.xamk.fi/app/uploads/sites/2/2025/08/Nepsy-tietoutta-tyoelamaa-varten-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-nepsy-tietoutta-tyoelamaa-varten-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=sosiaali-ja-terveysala
pulsego-s25-013,Kiusaaminen pienten lasten keskuudessa,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kiusaaminen-pienten-lasten-keskuudessa-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kiusaaminen-pienten-lasten-keskuudessa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-014,Psyykkisesti oireilevan lapsen ja hänen lähiverkostonsa kohtaaminen ja ohjaus,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Psyykkisesti-oireilevan-lapsen-ja-hanen-lahiverkostonsa-kohtaaminen-ja-ohjaus-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-psyykkisesti-oireilevan-lapsen-ja-hanen-lahiverkostonsa-kohtaaminen-ja-ohjaus/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-015,Kouluväkivalta,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Kouluvakivalta-PulseGo-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-kouluvakivalta-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
pulsego-s25-016,Traumainformoitu lähestymistapa nuoruusikäisen mielenterveystyössä,Lapset ja nuoret,https://www.xamk.fi/app/uploads/sites/2/2025/08/Traumainformoitu-lahestymistapa-nuoruusikaisen-mielenterveystyossa-PulseGO-syksy-2025.jpg,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/pulsego-traumainformoitu-lahestymistapa-nuoruusikaisen-mielenterveystyossa-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_elo-lokakuu&utm_content=lapset-ja-nuoret
