product_id,product_name	,product_deeplink,product_image,product_category
1,Python ohjelmoinnin perusteet,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/python-ohjelmointi-kaikille-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_python_ohjelmointi_kaikille.jpg,Digitaalisuus
2,C-ohjelmoinnin perusteet verkossa,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/c-ohjelmoinnin-perusteet-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_C_ohjelmoinnin_perusteet.jpg,Digitaalisuus
3,Astu peliohjelmoinnin maailmaan,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johdatus-peliohjelmointiin-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_johdatus_peliohjelmointiin.jpg,Digitaalisuus
4,Syvenny pelikehitykseen,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/peliohjelmointi-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_peliohjelmointi.jpg,Digitaalisuus
5,ota peliohjelmointi haltuun,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/peliohjelmoinnin-jatkokurssi-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_peliohjelmoinnin_jatkokurssi.jpg,Digitaalisuus
6,Aloita Canvan maailma,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/canvan-perusteet-nonstop-aloitus-3-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_canvan_perusteet.jpg,Digitaalisuus
7,Johdatus data-analytiikkaan,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/johdanto-data-analytiikkaan-nonstop-aloitus-5-op-3/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/09/Xamk_Pulse_johdanto_data_analytiikkaan.jpg,Digitaalisuus
8,Syvennä osaamista tietokantoihin,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/tietokannat-ja-sql-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Tietokannat_ja_SQL.jpg,Digitaalisuus
9,Opi lisää verkko- ja someanalytiikasta,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/verkko-ja-some-analytiikka-nonstop-aloitus-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Verkko_ja_some_analytiikka.jpg,Digitaalisuus
10,Analysoi dataa tehokkaasti,https://koulutuskalenteri.xamk.fi/avoimen-amkn-kurssit/tyokaluja-ja-menetelmia-datan-analysointiin-master-school-5-op/?utm_source=adform&utm_medium=display&utm_campaign=2025_pulse_taktinen_touko-kesakuu&utm_content=Digitaalisuus,https://www.xamk.fi/app/uploads/sites/2/2024/10/Xamk_Pulse_Tyokaluja_ja_menetelmia_datan_analysointiin.jpg,Digitaalisuus
