product_id,product_name,product_category,product_image,product_deeplink
1,Liiketalous,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-liiketalous_2.jpg,https://www.xamk.fi/koulutukset/tradenomi-amk-liiketalous-xamk/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Liiketalous
2,Restonomi,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-matkailu_1-1.jpg,https://www.xamk.fi/koulutukset/restonomi-amk/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Restonomi
4,Ekologinen muotoilu,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-muotoilu_1.jpg,https://www.xamk.fi/koulutukset/muotoilija-amk-ekologinen-muotoilu/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Ekologinen-muotoilu
5,Esiintymisasu ja digitaalinen puvustus,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-muotoilu_2.jpg,https://www.xamk.fi/koulutukset/muotoilija-amk-esiintymisasu-ja-digitaalinen-puvustus/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Esiintymisasu-ja-digitaalinen-puvustus
6,Game Art,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-pelialajaict_3.jpg,https://www.xamk.fi/en/degree-programmes/bachelor-of-culture-and-arts-game-art/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Game-Art
7,Palvelumuotoilu,"Liiketalous, kulttuuri, matkailu",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-muotoilu_3.jpg,https://www.xamk.fi/koulutukset/muotoilija-amk-palvelumuotoilu/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Palvelumuotoilu
9,Talotekniikka,"Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-tekniikka_2.jpg,https://www.xamk.fi/koulutukset/insinioori-amk-talotekniikka-lvi/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Talotekniikka
10,"Merikapteeni, merenkulku","Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-merenkulku_1.jpg,https://www.xamk.fi/koulutukset/merikapteeni-amk-merenkulku/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Merikapteeni-merenkulku
11,"Insinööri, merenkulku","Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-merenkulku_2.jpg,https://www.xamk.fi/koulutukset/insinoori-amk-merenkulku-laivatekniikka/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Insinoori-merenkulku
12,Rakennustekniikka,"Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-tekniikka_3.jpg,https://www.www.xamk.fi/koulutukset/insinoori-amk-rakennustekniikka/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Rakennustekniikka
13,Ympäristöteknologia,"Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-tekniikka_4.jpg,https://www.www.xamk.fi/koulutukset/insinoori-amk-ymparistoteknologia/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Ymparistoteknologia
14,Game Technologies,"Tekniikka, peliala, merenkulku",https://www.xamk.fi/app/uploads/sites/2/2025/08/syksynhaku_s25_amk-pelialajaict_2.jpg,https://www.xamk.fi/en/degree-programmes/bachelor-of-engineering-game-technologies/?utm_source=adform&utm_medium=display&utm_campaign=yhteishaku-syksy-2025-taktinen&utm_content=Game-Technologies
